gpu_model,Price,Link,Last Updated
RTX 4060,419.99,https://www.newegg.com/msi-rtx-4060-ventus-2x-black-8g-oc-geforce-rtx-4060-8gb-graphics-card-double-fans/p/N82E16814137804?Item=9SIC1CZKK34982,2026-03-06
RTX 4060 Ti 16GB,699.00,https://www.newegg.com/gigabyte-windforce-gv-n406twf2oc-16gd-geforce-rtx-4060-ti-16gb-graphics-card-double-fans/p/N82E16814932659?Item=9SIBTK0KD87787,2026-03-06
RTX 4060 Ti 8GB,489.00,https://www.newegg.com/asus-dual-rtx4060ti-o8g-evo-geforce-rtx-4060-ti-8gb-graphics-card-double-fans/p/1FT-000Y-00BP9?Item=9SIBP4YKF12912,2026-03-06
RTX 4070,655.00,https://www.newegg.com/gigabyte-windforce-gv-n4070wf3oc-12gd-geforce-rtx-4070-12gb-graphics-card-triple-fans/p/N82E16814932611?Item=9SIAYB7KNV1732,2026-03-06
RTX 4070 Super,735.00,https://www.newegg.com/gigabyte-windforce-gv-n407swf3oc-12gd-geforce-rtx-4070-super-12gb-graphics-card/p/N82E16814932683?Item=9SIAYB7KNK8783,2026-03-06
RTX 4070 Ti,909.86,https://www.newegg.com/asus-rog-strix-rtx4070ti-o12g-gaming-geforce-rtx-4070-ti-12gb-graphics-card-triple-fans/p/N82E16814126604?Item=9SIBTK0KEA5129,2026-03-06
RTX 4070 Ti Super,943.77,https://www.newegg.com/pny-technologies-inc-verto-vcg4070ts16tfxxpb1-o-geforce-rtx-4070-ti-super-16gb-graphics-card-triple-fans/p/N82E16814133866?Item=9SIBZW0KPC0012,2026-03-06
RTX 4080,1283.31,https://www.newegg.com/asus-proart-rtx4080-o16g-geforce-rtx-4080-16gb-graphics-card-triple-fans/p/N82E16814126664?Item=9SIBTK0KEH7223,2026-03-06
RTX 4080 Super,1499.99,https://www.newegg.com/asus-proart-rtx4080-16g-geforce-rtx-4080-16gb-video-cards-triple-fans/p/1FT-000Y-00C62?Item=9SIBP4YKN82567,2026-03-06
RTX 4090,3395.00,https://www.newegg.com/p/1FT-000A-00695?Item=9SIB4VJKFX4642,2026-03-06
RTX 5060,349.99,https://www.newegg.com/gigabyte-windforce-gv-n5060wf2oc-8gd-geforce-rtx-5060-8gb-graphics-card-double-fans/p/N82E16814932804?Item=N82E16814932804,2026-03-06
RTX 5060 Ti 16GB,549.99,https://www.newegg.com/gigabyte-gv-n506tgaming-oc-16gd-geforce-rtx-5060-ti-16gb-graphics-card-triple-fans/p/N82E16814932787?Item=N82E16814932787,2026-03-06
RTX 5060 Ti 8GB,379.99,https://www.newegg.com/msi-rtx-5060-ti-8g-ventus-2x-oc-plus-geforce-rtx-5060-ti-8gb-graphics-card-double-fans/p/N82E16814137965?Item=N82E16814137965,2026-03-06
RTX 5070,649.99,https://www.newegg.com/msi-rtx-5070-12g-shadow-2x-oc-geforce-rtx-5070-12gb-graphics-card-double-fans/p/N82E16814137944?Item=N82E16814137944,2026-03-06
RTX 5070 Ti,1059.99,https://www.newegg.com/gigabyte-gv-n507teagleoc-ice-16gd-geforce-rtx-5070-ti-16gb-graphics-card-triple-fans/p/N82E16814932769?Item=N82E16814932769,2026-03-06
RTX 5080,1249.99,https://www.newegg.com/zotac-gaming-geforce-rtx-5080-solid-core-oc-16gb-graphics-card-triple-fans/p/N82E16814500604?Item=N82E16814500604,2026-03-06
RTX 5090,3599.99,https://www.newegg.com/zotac-rtx-5090-solid-oc-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814500639?Item=N82E16814500639,2026-03-06
RX 6600,329.00,https://www.newegg.com/p/27N-0005-001X6?Item=9SIBTK0KEF3427,2026-03-06
RX 6500 XT,199.62,https://www.newegg.com/gigabyte-gv-r65xteagle-4gd-radeon-rx-6500-xt-4gb-graphics-card-windforce-2x/p/N82E16814932492?Item=9SIBTK0KF15218,2026-03-06
RX 6600 XT,549.00,https://www.newegg.com/p/27N-000F-000K8?Item=9SIB4VJKN82370,2026-03-06
RX 6700 10GB,699.00,https://www.newegg.com/sapphire-tech-pulse-11321-02-20g-radeon-rx-6700-10gb-graphics-card-double-fans/p/N82E16814202424?Item=9SIB4VJKFK5654,2026-03-06
RX 6700 XT,778.70,https://www.newegg.com/asrock-challenger-d-rx6700xt-cld-12g-radeon-rx-6700-xt-12gb-graphics-card-double-fans/p/N82E16814930056?Item=9SIBTK0KP53780,2026-03-06
RX 6750 XT,825.55,https://www.newegg.com/asrock-phantom-gaming-d-rx6750xt-pgd-12go-radeon-rx-6750-xt-12gb-graphics-card-triple-fans/p/N82E16814930072?Item=9SIBTK0KP53782,2026-03-06
RX 6800,449.99,https://www.newegg.com/xfx-speedster-swft319-radeon-rx-6800-16gb-graphics-card-air-cooler/p/N82E16814150896?Item=9SIADFRKK95516,2026-03-06
RX 6800 XT,499.00,https://www.newegg.com/yeston-rx6800xt-16gb-video-cards/p/27N-0042-000K2?Item=9SIC1B6KJ72422,2026-03-06
RX 6900 XT,799.00,https://www.newegg.com/asrock-phantom-gaming-d-rx6900xt-pgd-16go-radeon-rx-6900-xt-16gb-graphics-card-triple-fans/p/N82E16814930052?Item=9SIAM3PKS99198,2026-03-06
RX 6950 XT,829.99,https://www.newegg.com/asrock-oc-formula-rx6950xt-ocf-16g-radeon-rx-6950-xt-16gb-graphics-card-triple-fans/p/N82E16814930073?Item=9SIA4REKGJ9521,2026-03-06
RX 7600,279.00,https://www.newegg.com/asrock-challenger-rx7600-cl-8go-radeon-rx-7600-8gb-graphics-card-double-fans/p/N82E16814930093?Item=N82E16814930093,2026-03-06
RX 7600 XT,499.99,https://www.newegg.com/xfx-speedster-rx-76tswftfp-radeon-rx-7600-xt-16gb-graphics-card-double-fans/p/N82E16814150889?Item=9SIADFRKFS4159,2026-03-06
