rank_new_value,gpu_model,benchmark_group,normalized_fps_1440p,new_price,new_cost_per_fps,Link,source,last_updated
1,RX 9060 XT,modern,59.4,345.99,5.825,https://www.newegg.com/xfx-swift-rx-9060-xt-oc-triple-fan-radeon-rx-9060-xt-8gb-graphics-card-triple-fans/p/N82E16814150918?Item=9SIA2W0KPW0442,Toms_GPU_Hierarchy_2026,2026-03-03
2,RTX 3070,legacy,54.7,325.0,5.941,https://www.newegg.com/peladn-geforce-rtx-3070-8gb-graphics-card-double-fans/p/1FT-00EY-00033?Item=9SIBF3CKGM8878,Toms_GPU_Hierarchy_2022,2026-03-03
3,RX 7700 XT,modern,60.6,399.99,6.6,https://www.newegg.com/asrock-challenger-rx7700xt-cl-12go-radeon-rx-7700-xt-12gb-graphics-card-double-fans/p/N82E16814930109?Item=N82E16814930109,Toms_GPU_Hierarchy_2026,2026-03-03
4,RTX 5060 Ti 8GB,modern,56.0,379.99,6.786,https://www.newegg.com/msi-rtx-5060-ti-8g-ventus-2x-oc-plus-geforce-rtx-5060-ti-8gb-graphics-card-double-fans/p/N82E16814137965?Item=N82E16814137965,Toms_GPU_Hierarchy_2026,2026-03-03
5,Intel Arc B580,modern,42.6,289.99,6.807,https://www.newegg.com/onix-lumi-8346-00278-arc-b580-12gb-graphics-card-double-fans/p/N82E16814987002?Item=N82E16814987002,Toms_GPU_Hierarchy_2026,2026-03-03
6,RX 6800 XT,legacy,69.7,499.0,7.159,https://www.newegg.com/yeston-rx6800xt-16gb-video-cards/p/27N-0042-000K2?Item=9SIC1B6KJ72422,Toms_GPU_Hierarchy_2022,2026-03-03
7,RX 6800,legacy,62.8,449.99,7.165,https://www.newegg.com/xfx-speedster-swft319-radeon-rx-6800-16gb-graphics-card-air-cooler/p/N82E16814150896?Item=9SIADFRKK95516,Toms_GPU_Hierarchy_2022,2026-03-03
8,RX 9070,modern,86.9,629.99,7.25,https://www.newegg.com/asrock-challenger-rx9070-cl-16g-radeon-rx-9070-16gb-graphics-card-triple-fans/p/N82E16814930138?Item=N82E16814930138,Toms_GPU_Hierarchy_2026,2026-03-06
9,RX 7900 XT,modern,92.0,679.99,7.391,https://www.newegg.com/xfx-gaming-rx-79tmbabf9-radeon-rx-7900-xt-20gb-graphics-card-triple-fans/p/N82E16814150876?Item=9SIAD2CJS91325,Toms_GPU_Hierarchy_2026,2026-03-03
10,RX 9070 XT,modern,98.3,729.99,7.426,https://www.newegg.com/asrock-challenger-rx9070xt-cl-16g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814930145?Item=N82E16814930145,Toms_GPU_Hierarchy_2026,2026-03-03
11,RTX 5060,modern,45.7,349.99,7.658,https://www.newegg.com/gigabyte-windforce-gv-n5060wf2oc-8gd-geforce-rtx-5060-8gb-graphics-card-double-fans/p/N82E16814932804?Item=N82E16814932804,Toms_GPU_Hierarchy_2026,2026-03-03
12,RX 7800 XT,modern,69.0,549.99,7.971,https://www.newegg.com/powercolor-amd-rx-7800-xt-16gb-gddr6-video-cards/p/27N-000F-00127?Item=9SIADFRKT71845,Toms_GPU_Hierarchy_2026,2026-03-03
13,RTX 5070,modern,81.2,649.99,8.005,https://www.newegg.com/msi-rtx-5070-12g-shadow-2x-oc-geforce-rtx-5070-12gb-graphics-card-double-fans/p/N82E16814137944?Item=N82E16814137944,Toms_GPU_Hierarchy_2026,2026-03-03
14,RTX 4070 Ti Super,modern,116.9,943.77,8.073,https://www.newegg.com/pny-technologies-inc-verto-vcg4070ts16tfxxpb1-o-geforce-rtx-4070-ti-super-16gb-graphics-card-triple-fans/p/N82E16814133866?Item=9SIBZW0KPC0012,Toms_GPU_Hierarchy_2026,2026-03-03
15,Intel Arc B570,modern,35.3,299.0,8.47,https://www.newegg.com/p/3GM-0001-00026?Item=9SIBM9SKJJ1953,Toms_GPU_Hierarchy_2026,2026-03-03
16,RX 7900 GRE,modern,77.5,664.45,8.574,https://www.newegg.com/sapphire-tech-pure-7900gre-radeon-rx-7900-gre-16gb-graphics-card/p/27N-0005-00249?Item=9SIBTK0KED2286,Toms_GPU_Hierarchy_2026,2026-03-03
17,RTX 5060 Ti 16GB,modern,62.3,549.99,8.828,https://www.newegg.com/gigabyte-gv-n506tgaming-oc-16gd-geforce-rtx-5060-ti-16gb-graphics-card-triple-fans/p/N82E16814932787?Item=N82E16814932787,Toms_GPU_Hierarchy_2026,2026-03-03
18,Intel Arc A750,modern,30.9,279.0,9.029,https://www.newegg.com/p/3GM-0001-00020?Item=9SIBEWBKFH6662,Toms_GPU_Hierarchy_2026,2026-03-03
19,RTX 4070 Super,modern,79.7,735.0,9.222,https://www.newegg.com/gigabyte-windforce-gv-n407swf3oc-12gd-geforce-rtx-4070-super-12gb-graphics-card/p/N82E16814932683?Item=9SIAYB7KNK8783,Toms_GPU_Hierarchy_2026,2026-03-03
20,RTX 4070,modern,68.3,655.0,9.59,https://www.newegg.com/gigabyte-windforce-gv-n4070wf3oc-12gd-geforce-rtx-4070-12gb-graphics-card-triple-fans/p/N82E16814932611?Item=9SIAYB7KNV1732,Toms_GPU_Hierarchy_2026,2026-03-03
21,RTX 3060,modern,34.9,339.0,9.713,https://www.newegg.com/gigabyte-windforce-oc-gv-n3060wf2oc-12gd-rev2-0-geforce-rtx-3060-12gb-graphics-card-double-fans/p/N82E16814932658?Item=N82E16814932658,Toms_GPU_Hierarchy_2026,2026-03-03
22,Intel Arc A770,modern,36.7,359.0,9.782,https://www.newegg.com/p/3GM-0001-00014?Item=9SIBEWBKEX2361,Toms_GPU_Hierarchy_2026,2026-03-03
23,RTX 4060 Ti 8GB,modern,49.3,489.0,9.919,https://www.newegg.com/asus-dual-rtx4060ti-o8g-evo-geforce-rtx-4060-ti-8gb-graphics-card-double-fans/p/1FT-000Y-00BP9?Item=9SIBP4YKF12912,Toms_GPU_Hierarchy_2026,2026-03-03
24,RX 7600,modern,27.9,279.0,10.0,https://www.newegg.com/asrock-challenger-rx7600-cl-8go-radeon-rx-7600-8gb-graphics-card-double-fans/p/N82E16814930093?Item=N82E16814930093,Toms_GPU_Hierarchy_2026,2026-03-03
25,RTX 3060 Ti,legacy,49.3,499.0,10.122,https://www.newegg.com/p/1FT-000A-00689?Item=9SIBW8HKC16375,Toms_GPU_Hierarchy_2022,2026-03-03
26,RTX 3070 Ti,legacy,58.3,599.0,10.274,https://www.newegg.com/maxsun-icraft-geforce-rtx-3070-ti-8gb-graphics-card-triple-fans/p/1FT-009J-000C0?Item=9SIBTK0KEC0483,Toms_GPU_Hierarchy_2022,2026-03-03
27,RX 7900 XTX,modern,102.6,1066.03,10.39,https://www.newegg.com/sapphire-tech-pulse-11322-02-20g-radeon-rx-7900-xtx-24gb-graphics-card-triple-fans/p/N82E16814202429?Item=9SIBTK0KE62195,Toms_GPU_Hierarchy_2026,2026-03-03
28,RTX 5070 Ti,modern,101.2,1059.99,10.474,https://www.newegg.com/gigabyte-gv-n507teagleoc-ice-16gd-geforce-rtx-5070-ti-16gb-graphics-card-triple-fans/p/N82E16814932769?Item=N82E16814932769,Toms_GPU_Hierarchy_2026,2026-03-03
